Date,Title,Location,Time,Description,Category,Audience
"Friday July 10, 2026",Storytime,GREEN VALLEY LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 10, 2026",Storytime,WEST HENDERSON LIBRARY,10:15am - 10:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 10, 2026",Storytime,GREEN VALLEY LIBRARY,11:00am - 11:30am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Friday July 10, 2026",Storytime,WEST HENDERSON LIBRARY,11:15am - 11:45am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers. Registration required. Check in at the Customer Service Desk.",Storytime,"Preschoolers, Babies & Toddlers"
"Friday July 10, 2026",Conversational English Class,PASEO VERDE LIBRARY,12:00pm - 1:30pm,"Join our Conversational English program for relaxed, friendly conversation practice. Build confidence, meet new people, and practice everyday English in a supportive, low-pressure setting. 18+",Local Topics & Meetings • Culture & Diversity,Adults
"Friday July 10, 2026",Bug Science for Teens!,GREEN VALLEY LIBRARY,2:30pm - 3:30pm,"Explore outdoor science with Bug Science! Come learn about butterflies through games & hands-on activities, including creating a pinned butterfly display. Ages 11-17. No parents please.",STEAM • Arts & Creativity,Teens
"Friday July 10, 2026",Gentle Yoga,JAMES I. GIBSON LIBRARY,3:30pm - 4:30pm,"Relax and enjoy the benefits of yoga! This class meets on the 2nd and 4th Fridays of the month. We welcome participants of all levels, including little to no experience. Socks required.",Health & Wellness,Adults Page 5 of 14 --footer-line
"Saturday July 11, 2026",& Wellness Conversations,PASEO VERDE LIBRARY,9:00am - 12:00pm,We invite you to participate in a world café-style discussion on neighborhood mobility and traffic safety from the perspectives of Nevadans.,Local Topics & Meetings,Adults
"Saturday July 11, 2026",Storytime,PASEO VERDE LIBRARY,9:30am - 10:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers"
"Saturday July 11, 2026",Storytime,PASEO VERDE LIBRARY,10:30am - 11:00am,"Join us for stories, music, and fun activities! Ages 0-5 and caregivers.",Storytime,"Preschoolers, Babies & Toddlers REGISTERED EVENT"
"Saturday July 11, 2026",Homemade Hobbies for Adults,WEST HENDERSON LIBRARY,10:30am - 12:00pm,"Adult craft-making can be a fun, stress-relieving pastime. Rediscover the joy of these carefree activities. Register to guarantee your spot! Space is limited. Ages 18+",Arts & Creativity,Adults Paleontological History of Red Rock
"Saturday July 11, 2026",Canyon,GREEN VALLEY LIBRARY,1:00pm - 2:00pm,Unearth this story at the Green Valley Library as we dive into our Paleontological history of Red Rock Canyon presented by Red Rock Canyon NCA. All ages welcome!,Presentations & Workshops,All Ages
"Saturday July 11, 2026",Safe@Home,PASEO VERDE LIBRARY,2:30pm - 3:30pm,"Safe@Home by Safe Sitter® is a 90-minute program designed for kids in grades 4-6 to prepare them to be safe when they are home alone. Topics include: Safety, Handling emergencies & first aid.",Health & Wellness,Kids
"Saturday July 11, 2026",Bug Science for Teens!,JAMES I. GIBSON LIBRARY,2:30pm - 3:30pm,"Explore outdoor science with Bug Science! Come learn about butterflies through games & hands-on activities, including creating a pinned butterfly display. Ages 11-17. No parents please.",STEAM • Arts & Creativity,Teens
"Monday July 13, 2026",Bilingual Storytime,JAMES I. GIBSON LIBRARY,10:00am - 10:30am,Disfruta el tiempo de cuentos y canciones en inglés y en español. Enjoy our music and storytime in English and Spanish. Ages 0-5 and their caregivers.,Storytime • Culture & Diversity,"Preschoolers, Babies & Toddlers"
"Monday July 13, 2026",Yin Yoga for Beginners,PASEO VERDE LIBRARY,10:00am - 11:00am,"This calming yoga session can help improve flexibility, balance, and mindfulness. Space is limited. Passes are available at the Adult Services desk 30 minutes before the program.",Health & Wellness,Adults
"Monday July 13, 2026",Adaptive Storytime,PASEO VERDE LIBRARY,4:00pm - 4:30pm,This storytime is for any family with children ages 0-12 who wants to enjoy storytime in a nonjudgmental environment.,Storytime,Families Page 6 of 14 --footer-line
